Sex,Education,Marriage,Age,Credit_Limit,Current_Bill,Prev_Bill1,Prev_Bill2,Prev_Bill3,Prev_Bill4,Prev_Bill5,Paid_Amt1,Paid_Amt2,Paid_Amt3,Paid_Amt4,Paid_Amt5,Unpaid1,Unpaid2,Unpaid3,Unpaid4,Unpaid5,Default
Female,University,Married,24,20000,3913,3102,689,0,0,0,0,689,0,0,0,3102,0,0,0,0,1
Female,University,Single,26,120000,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,1725,1682,2272,2455,3261,1
Female,University,Single,34,90000,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,12509,12059,13331,13948,14549,0
Female,University,Married,37,50000,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,46233,47272,27114,27859,28478,0
Male,University,Married,57,50000,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,3670,-846,10940,10146,18442,0
Male,Graduate,Single,37,50000,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,54569,55793,18737,18619,19024,0
Male,Graduate,Single,29,500000,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,357023,405007,504653,462764,460194,0
Female,University,Single,23,100000,11876,380,601,221,-159,567,380,601,0,581,1687,0,0,221,-740,-1120,0
Female,High School,Married,28,140000,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,10767,12108,11779,10793,2719,0
Male,High School,Single,35,20000,0,0,0,0,13007,13912,0,0,0,13007,1122,0,0,0,0,12790,0
Female,High School,Single,34,200000,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,7481,5523,2463,1528,-7,0
Female,Graduate,Single,51,260000,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,-148,0,-66,-14,13668,0
Female,University,Single,41,630000,12137,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,5500,0,0,0,0,0
Male,University,Single,30,70000,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,64169,65701,63782,33137,35394,1
Male,Graduate,Single,29,250000,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,64060,60561,56696,53875,52512,0
Female,High School,Other,23,50000,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,29173,26616,27671,28331,28911,0
Male,Graduate,Single,24,20000,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,14810,17428,16838,17905,17454,1
Male,Graduate,Married,49,320000,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,236178,184663,-5866,-14144,0,0
Female,Graduate,Married,49,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,Graduate,Single,29,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,High School,Single,39,130000,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,24688,22952,19616,9802,0,0
Female,University,Married,39,120000,316,316,316,0,632,316,316,316,0,632,316,0,0,0,0,0,1
Female,University,Single,26,70000,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,40438,41438,44006,43304,46012,1
Female,Graduate,Married,40,450000,5512,19420,1473,560,0,0,19428,1473,560,0,0,-8,0,0,0,0,1
Male,Graduate,Single,23,90000,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,1313,0,0,5160,6247,0
Male,High School,Single,23,50000,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,39837,34597,27966,28397,28984,0
Male,Graduate,Single,27,60000,-109,-425,259,-57,127,-189,0,1000,0,500,0,-425,-741,-57,-373,-189,1
Female,High School,Single,30,50000,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,14838,15863,16878,17431,18617,0
Female,High School,Married,47,50000,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,-5,-4,0,0,0
Male,Graduate,Single,26,50000,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,15075,15996,16907,17375,9800,0
Female,Graduate,Single,27,230000,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,-5,-15,0,0,-369,0
Male,University,Single,33,50000,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,27900,20602,21734,22217,22680,1
Male,Graduate,Single,32,100000,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,81048,79369,77656,75499,72389,0
Female,University,Married,54,500000,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,0,-105,0,0,8000,0
Male,Graduate,Married,58,500000,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,0,-48,0,0,0,0
Male,Graduate,Single,30,160000,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,-262,-923,-1319,-2053,-2676,0
Male,University,Married,40,280000,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,173302,172362,164110,167501,171013,0
Female,University,Single,22,60000,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,8306,9550,3983,-28335,-29011,0
Male,Graduate,Single,25,50000,0,780,0,0,0,0,780,0,0,0,0,0,0,0,0,0,1
Male,Graduate,Single,31,280000,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,0,4641,0,9976,-48,0
Male,Graduate,Single,33,360000,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,211296,199895,622699,7129,151224,0
Female,Graduate,Single,25,70000,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,63999,59449,59657,62218,63170,0
Male,University,Single,22,10000,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,1684,3076,2576,3370,3451,0
Female,University,Married,37,140000,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,58544,59925,61280,63079,65802,0
Female,Graduate,Single,30,40000,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,18295,20921,25209,24636,26197,0
Male,Graduate,Single,29,210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Female,Graduate,Single,22,20000,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,13484,15800,-400,16341,0,1
Female,Other,Single,46,150000,4463,3034,1170,1170,0,0,1013,1170,0,0,0,2021,0,1170,0,0,1
Male,University,Single,32,380000,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,0,-4,7341,-2,-2,0
Male,Graduate,Single,24,20000,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,17161,18161,19161,19552,19151,0
Male,High School,Single,42,70000,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,36171,35255,37423,38659,37862,1
Female,High School,Other,43,100000,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,49163,42218,38119,33762,31758,0
Female,University,Married,49,310000,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,-8,0,0,0,0,0
Female,Graduate,Single,25,180000,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,40442,40748,41748,42658,43529,0
Female,Graduate,Single,29,150000,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,33393,29716,25469,19542,14540,0
Female,Graduate,Married,45,500000,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,0,0,0,0,0
Female,High School,Married,34,180000,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,7293,6941,-358,-1358,-679,0
Female,University,Married,34,180000,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,165357,165012,163355,127388,125102,0
Female,Graduate,Single,34,200000,1587,1098,782,1166,700,1414,0,0,700,0,1200,1098,782,466,700,214,0
Female,University,Married,29,400000,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,381857,389176,330199,344656,352089,0
Female,High School,Married,28,500000,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,22122,17578,13937,12827,13571,1
Male,University,Married,39,70000,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,68035,67843,15518,12096,-2170,0
Male,Graduate,Single,29,50000,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,24300,23891,25865,25442,27064,1
Female,University,Married,46,50000,28718,29166,0,0,0,0,1000,0,0,0,0,28166,0,0,0,0,1
Female,University,Married,51,130000,99,0,0,0,2353,0,0,0,0,2353,0,0,0,0,0,0,0
Male,Graduate,Married,57,200000,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,148751,144076,-48,7898,7918,1
Male,University,Married,56,10000,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,1893,3978,3912,3996,4126,1
Female,Graduate,Single,30,210000,300,300,1159,2280,300,4250,300,1159,2280,300,4250,0,0,0,0,0,0
Female,High School,Single,29,130000,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,-9850,-9850,-9850,10161,0,0
Male,Other,Single,22,20000,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,17204,16085,17085,10705,4982,0
Male,Graduate,Single,31,80000,780,0,390,390,390,390,0,390,390,390,390,0,0,0,0,0,0
Male,University,Single,29,320000,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,56746,57684,58622,57507,61126,1
Female,University,Married,32,200000,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,-31,-699,-3855,3831,-14,0
Female,Graduate,Single,37,290000,0,0,3155,0,2359,0,0,3155,0,2359,0,0,0,0,0,0,0
Male,Graduate,Single,32,340000,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,-163,-116,-23,-399,-129,0
Male,University,Single,24,20000,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,14366,16642,16366,16702,17043,0
Male,High School,Single,25,50000,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,35466,34308,9316,9090,9030,0
Female,Graduate,Married,45,300000,291,291,291,291,291,291,291,291,291,291,291,0,0,0,0,0,0
Female,University,Single,22,30000,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,27926,28926,27444,23446,4646,1
Female,University,Single,44,240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Female,High School,Other,33,470000,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,151384,155136,66923,28311,28889,0
Female,Graduate,Single,26,360000,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,23000,27000,30000,33100,0,0
Male,High School,Single,30,60000,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,25895,26895,21345,19131,18631,1
Female,University,Married,44,400000,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,128360,126816,101380,101990,90858,0
Female,High School,Single,49,50000,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,46187,20187,19714,18643,18633,0
Male,University,Single,33,160000,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,103408,68387,38418,113907,115618,0
Female,Graduate,Married,45,360000,390,1170,780,390,390,390,1170,0,0,390,390,0,780,390,0,0,1
Female,University,Single,32,160000,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,3604,4604,6604,7072,0,0
Female,Graduate,Married,35,130000,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,77866,12740,0,0,0,0
Male,High School,Single,44,20000,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,8303,8000,9488,10314,11970,0
Male,Graduate,Married,53,200000,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,134474,136960,138598,141624,144531,1
Female,Graduate,Single,39,280000,7524,0,3968,3868,0,0,0,3968,0,0,0,0,0,3868,0,0,0
Female,Graduate,Single,27,100000,-2000,5555,0,0,0,0,7555,0,0,0,0,-2000,0,0,0,0,0
Female,University,Married,37,160000,880,1602,840,840,0,0,1602,840,840,0,0,0,0,0,0,0,0
Female,University,Single,23,60000,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,44913,45913,18913,18519,18507,0
Male,University,Single,35,90000,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,82375,84056,34386,29830,29731,0
Male,Graduate,Married,43,360000,3967,8322,3394,6451,26370,9956,8339,3394,12902,27000,0,-17,0,-6451,-630,9956,0
Male,Graduate,Single,27,150000,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,82077,79000,86509,83685,39090,0
Female,High School,Married,22,50000,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,16749,15803,12771,8585,7578,0
Male,University,Married,38,20000,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,17668,18099,17614,16178,0,1
Male,Graduate,Single,32,140000,672,10212,850,415,100,1430,10212,850,415,100,1430,0,0,0,0,0,0
Female,Graduate,Single,30,380000,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,-526,-703,31720,32367,32806,0
Male,Graduate,Married,63,480000,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,415264,423739,470066,471145,451961,0
Female,High School,Single,22,50000,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,40487,36985,31494,22637,23099,1
Female,University,Single,26,60000,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,55208,54175,57707,55441,52305,0
Female,University,Single,24,70000,5580,0,0,0,0,26529,0,0,0,0,26529,0,0,0,0,0,0
Female,University,Married,36,80000,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,0,-2,0,0,0,0
Male,Graduate,Single,52,350000,713,2272,722,867,1150,5263,2272,722,867,1150,5263,0,0,0,0,0,0
Male,University,Single,38,130000,171438,178382,39940,120483,44127,126568,10908,0,133657,4566,133841,167474,39940,-13174,39561,-7273,0
Male,University,Married,35,360000,-103,-103,-103,-103,-103,-103,0,0,0,0,0,-103,-103,-103,-103,-103,0
Female,Graduate,Married,31,330000,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,99171,105594,102303,102391,91495,0
Male,High School,Married,47,50000,13244,14722,15181,15928,16671,17393,2000,1000,1000,1000,1000,12722,14181,14928,15671,16393,0
Male,University,Married,41,280000,135673,138532,134813,144401,152174,149415,6500,0,14254,14850,0,132032,134813,130147,137324,149415,0
Female,Graduate,Single,24,100000,52128,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,50692,51800,53000,55020,56713,0
Male,University,Single,41,50000,19015,19294,20259,20274,20311,19957,1340,1305,700,718,724,17954,18954,19574,19593,19233,0
Male,Graduate,Single,24,30000,18199,17618,18631,21319,20692,21201,0,1312,3000,0,1000,17618,17319,18319,20692,20201,1
Male,Graduate,Single,28,240000,326,326,326,5676,476,326,326,326,5676,476,326,0,0,0,0,0,0
Male,University,Single,26,80000,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,13493,14930,16055,16629,17186,1
Male,University,Married,34,400000,19660,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,-11,0,0,0,0,0
Female,University,Single,38,240000,50254,51445,53015,52479,1307,1203,2000,3000,3000,1307,1203,49445,50015,49479,0,0,0
Male,High School,Single,37,50000,46004,45976,48953,48851,49318,51143,1000,4035,1000,1400,2800,44976,44918,47851,47918,48343,1
Male,Graduate,Married,40,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Female,Graduate,Married,48,110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,University,Married,35,310000,304991,311243,306314,258610,246491,198889,13019,11128,8407,8599,6833,298224,295186,250203,237892,192056,1
Male,Graduate,Single,27,20000,19115,18962,19298,19378,19717,15630,1404,1130,600,861,313,17558,18168,18778,18856,15317,0
Male,University,Single,23,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,High School,Single,52,200000,110151,99530,98951,100914,103146,104993,3568,3585,3602,3848,3669,95962,95366,97312,99298,101324,0
Male,Graduate,Married,36,180000,163736,116422,99278,95766,97753,95927,4655,2690,2067,2142,2217,111767,96588,93699,95611,93710,1
Male,University,Married,51,50000,3347,3899,4503,5347,6375,7077,1000,1066,1300,1500,1200,2899,3437,4047,4875,5877,1
Male,High School,Married,55,60000,60521,61450,57244,28853,29510,26547,2504,7,1200,1200,1100,58946,57237,27653,28310,25447,0
Female,Graduate,Single,23,30000,4000,5645,3508,-27,13744,5906,5645,3508,27,13771,5911,0,0,-54,-27,-5,0
Male,Graduate,Single,41,240000,95,2622,3301,3164,360,1737,2622,3301,0,360,1737,0,0,3164,0,0,0
Male,University,Married,34,420000,253454,247743,229049,220951,210606,188108,9744,9553,7603,7830,7253,237999,219496,213348,202776,180855,0
Male,High School,Married,46,330000,227389,228719,229644,227587,227775,228203,8210,8095,8025,8175,8391,220509,221549,219562,219600,219812,0
Female,University,Single,22,30000,28452,26145,26712,25350,17603,-780,2000,1400,0,500,0,24145,25312,25350,17103,-780,0
Male,University,Married,34,240000,10674,12035,13681,13269,14158,13891,1500,1800,0,1000,0,10535,11881,13269,13158,13891,0
Male,Graduate,Single,27,150000,17444,19342,22000,24614,27200,30229,2500,3000,3000,3000,3500,16842,19000,21614,24200,26729,0
Female,University,Married,33,210000,7166,7997,8792,9189,4404,5708,1500,1500,1000,500,2000,6497,7292,8189,3904,3708,0
Female,High School,Married,51,50000,752,300,5880,0,0,0,300,5880,0,0,0,0,0,0,0,0,1
Male,Graduate,Single,24,50000,50801,50143,49586,19430,19375,18995,2360,1700,1000,900,870,47783,47886,18430,18475,18125,0
Male,Graduate,Single,47,240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Male,University,Single,28,180000,1832,0,832,332,416,416,0,416,332,500,3500,0,416,0,-84,-3084,0
Male,University,Single,23,50000,10131,10833,20583,19996,19879,18065,1000,10000,400,700,800,9833,10583,19596,19179,17265,0
Male,University,Single,29,170000,12159,10000,10000,10000,9983,15846,10000,10000,10000,9983,15863,0,0,0,0,-17,0
Male,Graduate,Single,29,20000,1199,15586,344,2340,6702,339,15586,344,2340,4702,339,0,0,0,2000,0,0
Male,Graduate,Single,28,50000,4999,5913,7315,9195,10624,10138,1000,1500,2000,1583,1100,4913,5815,7195,9041,9038,0
Female,University,Single,27,170000,19269,20313,20852,17560,17918,9100,1661,1200,351,358,182,18652,19652,17209,17560,8918,1
Male,Graduate,Single,34,200000,197236,176192,93069,135668,132233,59875,8000,5000,55500,5000,5000,168192,88069,80168,127233,54875,0
Female,University,Married,23,80000,9168,10522,10205,9898,10123,12034,1650,0,0,379,2091,8872,10205,9898,9744,9943,0
Female,Graduate,Married,60,260000,-1100,-1100,21400,0,969,869,0,22500,0,969,1000,-1100,-1100,0,0,-131,0
Male,University,Married,32,140000,86627,78142,68336,64648,58319,55251,3455,3110,5000,0,2100,74687,65226,59648,58319,53151,0
Male,Graduate,Single,25,80000,42444,55744,43476,41087,41951,31826,30000,3000,6000,8000,2000,25744,40476,35087,33951,29826,0
Male,Graduate,Single,41,350000,208,2906,1000,630,0,0,2906,1000,630,0,0,0,0,0,0,0,0
Female,University,Married,56,280000,208775,182350,132257,101783,177145,169311,8042,6700,5137,100000,7000,174308,125557,96646,77145,162311,0
Female,High School,Single,26,30000,9014,10406,11427,11935,13084,14206,1700,1500,1000,1500,1500,8706,9927,10935,11584,12706,0
Male,Graduate,Married,34,140000,23944,28049,32073,43129,47086,48699,5000,5000,11885,5000,3000,23049,27073,31244,42086,45699,0
Female,Graduate,Single,37,200000,105420,102870,89643,90938,92505,94031,4000,3250,3250,3500,3560,98870,86393,87688,89005,90471,0
Female,High School,Single,30,200000,196031,196143,189524,167163,146975,122324,7300,7108,7680,6200,5000,188843,182416,159483,140775,117324,0
Male,High School,Married,45,210000,115785,122904,129847,137277,145533,154105,10478,10478,11078,11078,11678,112426,119369,126199,134455,142427,1
Male,High School,Married,57,50000,12854,12362,13447,13427,13711,14083,0,1600,500,500,600,12362,11847,12927,13211,13483,0
Male,Graduate,Single,41,30000,24357,27453,26718,28168,27579,28321,3500,0,2200,0,1200,23953,26718,25968,27579,27121,0
Male,University,Single,27,50000,390,390,780,216,1080,540,390,780,216,864,0,0,0,0,216,540,0
Male,High School,Married,47,290000,1234,396,396,792,396,423,396,396,792,0,423,0,0,0,396,0,0
Female,Graduate,Married,34,250000,141223,156858,151841,152803,155997,160220,17994,0,5469,5656,6811,138864,151841,147334,150341,153409,0
Female,University,Married,46,60000,21148,23803,24908,26034,26655,27756,3000,1500,1500,1000,1500,20803,23408,24534,25655,26256,0
Female,Graduate,Single,27,110000,101640,104795,104855,74737,76058,77254,5500,3900,3000,2900,3000,99295,100955,71737,73158,74254,0
Male,Graduate,Single,50,370000,6093,15130,8204,15398,4792,13453,15383,8204,15413,4792,13453,-253,0,-15,0,0,0
Male,University,Married,27,100000,102349,96847,58824,29336,22979,-246,3166,0,1330,1398,12,93681,58824,28006,21581,-258,0
Female,University,Married,35,90000,72112,73854,75526,77317,85852,88290,3500,3500,3652,10000,4000,70354,72026,73665,75852,84290,0
Female,University,Single,22,50000,28040,29092,29366,27737,28318,28806,1510,1442,982,1017,1277,27582,27924,26755,27301,27529,0
Male,University,Single,37,270000,37695,33397,30534,27598,26344,24641,5000,2000,3000,4000,3000,28397,28534,24598,22344,21641,0
Female,Graduate,Single,30,300000,688,3280,0,4340,2672,800,3288,0,4340,2672,800,-8,0,0,0,0,0
Female,University,Single,22,50000,8567,15273,11650,7457,3115,7725,15000,1000,149,0,5000,273,10650,7308,3115,2725,0
Female,Graduate,Single,24,50000,-709,-709,-709,-2898,-3272,-3272,0,0,0,0,0,-709,-709,-2898,-3272,-3272,1
Male,Graduate,Single,29,360000,0,0,77,0,0,0,0,77,0,0,0,0,0,0,0,0,0
Male,High School,Married,56,130000,64617,65978,67282,68557,72796,71345,3000,3000,3000,5500,0,62978,64282,65557,67296,71345,1
Male,Graduate,Single,30,80000,6187,100,600,1438,1919,5380,504,500,1000,500,3500,-404,100,438,1419,1880,0
Male,University,Single,30,50000,48860,47801,48363,30221,22877,22361,0,1500,1000,2000,0,47801,46863,29221,20877,22361,0
Female,University,Single,22,20000,16001,12622,13221,13130,14034,14906,1212,1201,500,1500,1500,11410,12020,12630,12534,13406,0
Female,University,Married,29,80000,77883,81811,80250,61467,10662,11486,5800,1000,600,400,1000,76011,79250,60867,10262,10486,0
Male,Graduate,Single,37,240000,12212,26578,25331,26605,26279,1256,15000,0,2000,0,1256,11578,25331,24605,26279,0,0
Female,High School,Single,35,80000,49608,12412,14873,17364,17770,17460,12500,6500,3000,2000,3000,-88,8373,14364,15770,14460,0
Female,Graduate,Married,47,500000,56422,110616,110340,122967,108834,70064,70010,30357,30000,20000,52183,40606,79983,92967,88834,17881,0
Female,University,Married,24,60000,58024,57891,48839,18971,19323,19395,2500,1600,3000,1000,737,55391,47239,15971,18323,18658,1
Male,University,Single,25,20000,10642,11677,13070,12280,1615,1620,1200,1593,601,135,1824,10477,11477,11679,1480,-204,0
Female,University,Married,38,100000,14483,13961,15323,16268,15868,16448,0,1600,1500,0,1000,13961,13723,14768,15868,15448,1
Female,Graduate,Single,32,360000,2616,57077,5287,68445,13881,16240,57087,5295,68454,13889,16250,-10,-8,-9,-8,-10,0
Female,High School,Single,47,200000,199436,202947,193936,196186,200162,189915,8214,7000,6800,7134,0,194733,186936,189386,193028,189915,1
Female,University,Married,34,130000,0,5396,10270,13576,13864,14636,5396,5000,3500,501,1000,0,5270,10076,13363,13636,0
Female,University,Single,31,20000,21703,21087,21461,20835,20219,20487,0,1000,0,0,760,21087,20461,20835,20219,19727,0
Male,Graduate,Single,32,310000,59901,62147,62102,65875,60387,43328,10020,6031,10057,5028,5060,52127,56071,55818,55359,38268,0
Female,Graduate,Single,27,60000,19625,20347,21669,23005,22499,22873,1342,1664,2000,0,900,19005,20005,21005,22499,21973,1
Female,Graduate,Single,29,180000,11386,199,0,0,17227,17042,199,0,0,17227,341,0,0,0,0,16701,0
Female,Graduate,Single,24,180000,14670,22087,21282,10200,0,0,37867,0,200,0,0,-15780,21282,10000,0,0,0
Male,University,Married,36,50000,47790,18114,18250,-14,72,658,2000,1000,2000,500,1000,16114,17250,-2014,-428,-342,0
Female,Graduate,Single,24,50000,36166,37188,37680,38462,39228,40035,1900,1400,1700,1532,1600,35288,36280,36762,37696,38435,1
Female,University,Married,34,150000,0,0,0,116,0,1500,0,0,116,0,1500,0,0,0,0,0,0
Female,Graduate,Single,22,20000,18553,19446,19065,8332,18868,19247,1500,1032,541,20000,693,17946,18033,7791,-1132,18554,0
Female,Graduate,Married,34,500000,412,138,2299,1251,1206,1151,138,2299,1251,1206,1151,0,0,0,0,0,0
Female,High School,Single,22,30000,29010,29256,28122,29836,1630,0,1000,85,1714,104,0,28256,28037,28122,1526,0,1
Female,Graduate,Married,38,180000,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,Graduate,Single,31,140000,27123,27299,17985,20225,27407,10833,25000,0,3000,7800,0,2299,17985,17225,19607,10833,0
Female,Graduate,Single,26,140000,13424,18000,13001,5818,13506,487,10000,13001,5841,13506,487,8000,0,-23,0,0,0
Male,University,Single,26,120000,107314,110578,113736,116000,119131,122135,5000,5000,4152,5000,5000,105578,108736,111848,114131,117135,0
Female,University,Married,48,360000,226430,231878,234192,190211,173557,146511,9100,7300,5800,5600,5600,222778,226892,184411,167957,140911,0
Male,High School,Married,43,20000,227,20351,20237,19339,19450,19337,22359,1305,1258,1459,3457,-2008,18932,18081,17991,15880,0
Male,Graduate,Married,47,100000,390,1473,390,390,390,0,1473,390,390,390,0,0,0,0,0,0,0
Female,University,Married,41,210000,3088,1586,343,3763,877,0,1586,343,3763,877,0,0,0,0,0,0,1
Female,University,Single,24,80000,81625,81554,79599,49552,49509,49568,3200,3000,2038,2000,1800,78354,76599,47514,47509,47768,1
Female,Graduate,Married,50,330000,8872,4337,2854,1690,0,1709,4345,2854,1702,0,1709,-8,0,-12,0,0,0
Male,Graduate,Single,24,220000,105607,108917,111520,8303,0,85632,5000,5050,8303,0,85632,103917,106470,0,0,0,0
Female,Graduate,Married,38,210000,0,0,250,123,789,1222,0,250,0,789,1222,0,0,123,0,0,1
Female,High School,Married,43,40000,38257,38901,38103,36207,33138,31339,1700,1504,1200,1500,1500,37201,36599,35007,31638,29839,0
Male,University,Single,39,30000,28347,28108,18388,12992,7736,8032,3036,2309,0,1000,2000,25072,16079,12992,6736,6032,0
Male,University,Single,27,470000,296573,303320,307843,479978,305145,309959,13000,11001,0,10484,10838,290320,296842,479978,294661,299121,0
Male,High School,Married,42,30000,390,390,390,240,1320,780,390,390,240,1470,0,0,0,0,-150,780,0
Female,University,Married,36,240000,-946,-946,-946,-946,-946,-946,0,0,0,0,0,-946,-946,-946,-946,-946,1
Male,University,Single,36,80000,79278,78501,78534,80016,76235,78245,3100,3500,3400,3000,3500,75401,75034,76616,73235,74745,0
